age,gender,height,weight,activity,bmr,tdee,calorie_needs,protein,fat,carbs
44,M,155,62,Very Active,1413,2685,2685,201,75,302
57,F,184,78,Very Active,1492,2835,2835,213,79,319
43,F,166,92,Active,1626,2805,2805,210,78,316
30,M,194,83,Light,1961,2696,2696,202,75,303
68,F,200,59,Light,1318,1812,1812,136,50,204
41,M,176,120,Light,2308,3174,3174,238,88,357
64,F,172,76,Active,1406,2425,2425,182,67,273
70,M,187,82,Sedentary,1687,2024,2024,152,56,228
19,M,159,50,Light,1413,1943,1943,146,54,219
79,F,165,71,Light,1273,1750,1750,131,49,197
55,F,156,65,Light,1294,1779,1779,133,49,200
77,F,166,47,Moderate,1063,1648,1648,124,46,185
36,F,162,87,Moderate,1598,2477,2477,186,69,279
58,F,181,98,Light,1663,2287,2287,172,64,257
41,M,169,102,Sedentary,2033,2440,2440,183,68,274
61,F,160,119,Moderate,1780,2759,2759,207,77,310
32,M,161,87,Active,1845,3183,3183,239,88,358
28,M,194,61,Sedentary,1678,2014,2014,151,56,227
26,F,184,48,Sedentary,1349,1619,1619,121,45,182
48,M,157,56,Very Active,1320,2508,2508,188,70,282
64,M,159,49,Very Active,1145,2176,2176,163,60,245
68,M,160,110,Very Active,1944,3694,3694,277,103,416
24,M,177,49,Moderate,1458,2260,2260,170,63,254
25,M,155,69,Moderate,1615,2503,2503,188,70,282
24,M,180,54,Light,1539,2116,2116,159,59,238
32,M,157,118,Active,2241,3866,3866,290,107,435
71,M,183,110,Light,2037,2801,2801,210,78,315
46,F,173,80,Very Active,1524,2896,2896,217,80,326
77,F,163,117,Light,1701,2339,2339,175,65,263
37,M,158,65,Sedentary,1507,1808,1808,136,50,203
22,M,200,88,Sedentary,2102,2522,2522,189,70,284
57,F,173,97,Moderate,1634,2533,2533,190,70,285
46,F,170,113,Light,1820,2502,2502,188,70,281
22,F,199,49,Sedentary,1422,1706,1706,128,47,192
56,M,160,84,Sedentary,1664,1997,1997,150,55,225
38,F,166,89,Moderate,1620,2511,2511,188,70,282
47,F,172,74,Very Active,1461,2776,2776,208,77,312
35,M,152,119,Very Active,2213,4205,4205,315,117,473
54,M,186,111,Sedentary,2161,2593,2593,194,72,292
53,M,177,91,Moderate,1856,2877,2877,216,80,324
59,M,181,47,Light,1252,1722,1722,129,48,194
39,M,174,57,Moderate,1466,2272,2272,170,63,256
56,M,166,102,Moderate,1934,2998,2998,225,83,337
70,M,200,81,Very Active,1736,3298,3298,247,92,371
78,F,156,47,Very Active,1028,1953,1953,146,54,220
48,F,198,61,Light,1417,1948,1948,146,54,219
59,F,190,61,Active,1345,2320,2320,174,64,261
65,M,181,60,Sedentary,1392,1670,1670,125,46,188
28,F,178,102,Active,1821,3141,3141,236,87,353
72,M,196,110,Very Active,2094,3979,3979,298,111,448
30,M,188,110,Active,2294,3957,3957,297,110,445
68,F,186,64,Sedentary,1321,1585,1585,119,44,178
79,M,196,56,Very Active,1331,2529,2529,190,70,285
71,M,192,109,Sedentary,2067,2480,2480,186,69,279
28,F,176,102,Light,1815,2496,2496,187,69,281
39,F,165,99,Active,1705,2941,2941,221,82,331
26,M,153,94,Very Active,1934,3675,3675,276,102,413
50,M,159,60,Light,1371,1885,1885,141,52,212
33,F,167,112,Moderate,1858,2880,2880,216,80,324
34,F,190,92,Sedentary,1740,2088,2088,157,58,235
47,F,163,78,Sedentary,1470,1764,1764,132,49,198
60,F,173,83,Moderate,1491,2311,2311,173,64,260
52,F,176,81,Sedentary,1517,1820,1820,136,51,205
20,F,185,119,Very Active,2035,3866,3866,290,107,435
31,M,197,89,Light,2050,2819,2819,211,78,317
30,M,186,62,Light,1641,2256,2256,169,63,254
29,M,150,105,Light,2050,2819,2819,211,78,317
40,M,194,78,Sedentary,1837,2204,2204,165,61,248
54,M,160,76,Very Active,1568,2979,2979,223,83,335
56,M,171,103,Active,1971,3400,3400,255,94,382
57,F,154,61,Very Active,1242,2360,2360,177,66,266
27,M,151,53,Active,1370,2363,2363,177,66,266
67,M,185,55,Very Active,1333,2533,2533,190,70,285
21,M,167,62,Very Active,1601,3042,3042,228,84,342
51,M,163,51,Active,1264,2180,2180,164,61,245
27,M,151,103,Sedentary,2040,2448,2448,184,68,275
34,F,178,90,Light,1684,2316,2316,174,64,261
40,M,181,80,Active,1802,3108,3108,233,86,350
62,M,151,93,Moderate,1707,2646,2646,198,74,298
50,F,194,73,Active,1507,2600,2600,195,72,292
19,M,171,53,Active,1511,2606,2606,195,72,293
64,F,159,117,Moderate,1745,2705,2705,203,75,304
40,M,195,49,Light,1454,1999,1999,150,56,225
18,F,175,69,Moderate,1550,2402,2402,180,67,270
56,F,187,61,Moderate,1349,2091,2091,157,58,235
58,F,180,66,Active,1364,2353,2353,176,65,265
75,F,181,92,Light,1534,2109,2109,158,59,237
72,F,154,56,Very Active,1131,2149,2149,161,60,242
23,F,171,117,Active,1960,3381,3381,254,94,380
54,M,195,59,Moderate,1508,2337,2337,175,65,263
68,F,183,109,Moderate,1728,2678,2678,201,74,301
41,M,164,95,Moderate,1915,2968,2968,223,82,334
28,F,162,101,Sedentary,1762,2114,2114,159,59,238
60,F,167,57,Active,1232,2125,2125,159,59,239
48,F,157,113,Active,1771,3055,3055,229,85,344
58,F,164,98,Light,1611,2215,2215,166,62,249
46,F,155,60,Sedentary,1283,1540,1540,116,43,173
77,F,166,72,Light,1294,1779,1779,133,49,200
53,M,175,53,Active,1337,2306,2306,173,64,259
28,M,174,56,Moderate,1515,2348,2348,176,65,264
40,M,173,67,Very Active,1589,3019,3019,226,84,340
47,F,185,93,Sedentary,1677,2012,2012,151,56,226
44,F,176,85,Very Active,1588,3017,3017,226,84,339
63,F,192,111,Very Active,1796,3412,3412,256,95,384
42,F,178,106,Moderate,1797,2785,2785,209,77,313
57,M,172,45,Active,1193,2058,2058,154,57,232
66,M,186,107,Very Active,2040,3876,3876,291,108,436
80,M,189,59,Light,1332,1832,1832,137,51,206
61,F,152,107,Active,1644,2836,2836,213,79,319
55,F,194,58,Very Active,1347,2559,2559,192,71,288
78,F,169,77,Active,1345,2320,2320,174,64,261
25,F,150,74,Sedentary,1488,1786,1786,134,50,201
74,M,192,98,Light,1903,2617,2617,196,73,294
51,F,197,93,Sedentary,1697,2036,2036,153,57,229
63,M,188,111,Moderate,2120,3286,3286,246,91,370
28,F,166,48,Light,1284,1766,1766,132,49,199
49,F,189,51,Moderate,1293,2004,2004,150,56,225
23,M,175,95,Moderate,2070,3208,3208,241,89,361
74,F,160,55,Moderate,1131,1753,1753,131,49,197
21,F,194,111,Very Active,1984,3770,3770,283,105,424
24,F,180,63,Moderate,1484,2300,2300,172,64,259
74,M,176,102,Moderate,1879,2912,2912,218,81,328
49,M,170,45,Light,1229,1690,1690,127,47,190
75,M,177,80,Active,1584,2732,2732,205,76,307
55,F,179,82,Very Active,1522,2892,2892,217,80,325
60,F,184,47,Light,1192,1639,1639,123,46,184
42,M,184,120,Sedentary,2341,2809,2809,211,78,316
55,F,167,87,Active,1531,2641,2641,198,73,297
49,F,189,105,Active,1792,3091,3091,232,86,348
28,M,177,59,Active,1569,2707,2707,203,75,305
23,M,167,72,Active,1724,2974,2974,223,83,335
49,F,157,58,Active,1258,2170,2170,163,60,244
63,F,159,97,Light,1564,2150,2150,161,60,242
61,F,185,103,Moderate,1709,2649,2649,199,74,298
77,F,183,94,Light,1550,2131,2131,160,59,240
69,F,164,72,Active,1323,2282,2282,171,63,257
77,F,195,85,Moderate,1504,2331,2331,175,65,262
47,F,157,64,Active,1322,2280,2280,171,63,256
62,F,157,89,Light,1489,2047,2047,154,57,230
23,M,184,65,Light,1712,2354,2354,177,65,265
75,F,198,73,Moderate,1411,2187,2187,164,61,246
33,M,174,86,Sedentary,1888,2266,2266,170,63,255
60,F,191,99,Very Active,1695,3220,3220,242,89,362
62,M,167,55,Moderate,1275,1976,1976,148,55,222
32,F,152,95,Very Active,1658,3150,3150,236,88,354
18,M,158,87,Active,1910,3295,3295,247,92,371
63,F,164,90,Active,1515,2613,2613,196,73,294
27,M,180,63,Active,1643,2834,2834,213,79,319
24,M,160,58,Sedentary,1497,1796,1796,135,50,202
58,M,153,109,Moderate,1954,3029,3029,227,84,341
49,M,169,95,Active,1894,3267,3267,245,91,368
40,F,155,120,Moderate,1864,2889,2889,217,80,325
60,F,162,91,Active,1531,2641,2641,198,73,297
71,M,178,110,Light,2013,2768,2768,208,77,311
22,F,170,105,Very Active,1850,3515,3515,264,98,395
61,M,150,82,Very Active,1560,2964,2964,222,82,333
69,F,174,56,Moderate,1206,1869,1869,140,52,210
29,M,187,48,Sedentary,1464,1757,1757,132,49,198
31,M,180,77,Moderate,1808,2802,2802,210,78,315
77,F,166,90,Sedentary,1461,1753,1753,131,49,197
20,F,161,119,Light,1960,2695,2695,202,75,303
42,F,174,59,Active,1350,2329,2329,175,65,262
74,M,152,101,Light,1751,2408,2408,181,67,271
44,F,164,86,Active,1560,2691,2691,202,75,303
60,F,185,45,Moderate,1177,1824,1824,137,51,205
46,F,153,75,Active,1416,2443,2443,183,68,275
73,F,162,58,Very Active,1170,2223,2223,167,62,250
32,M,175,108,Moderate,2193,3399,3399,255,94,382
59,M,182,47,Light,1256,1727,1727,130,48,194
61,M,191,94,Light,1918,2637,2637,198,73,297
44,F,152,75,Moderate,1421,2203,2203,165,61,248
21,F,176,76,Light,1605,2207,2207,166,61,248
65,M,156,79,Very Active,1526,2899,2899,217,81,326
30,F,177,68,Light,1495,2056,2056,154,57,231
53,M,183,101,Moderate,2019,3129,3129,235,87,352
72,M,198,85,Sedentary,1769,2123,2123,159,59,239
64,M,165,55,Sedentary,1254,1505,1505,113,42,169
68,F,153,61,Sedentary,1191,1429,1429,107,40,161
36,F,189,85,Active,1663,2869,2869,215,80,323
80,M,175,117,Moderate,2041,3164,3164,237,88,356
73,M,167,46,Sedentary,1092,1310,1310,98,36,147
38,M,174,117,Active,2275,3924,3924,294,109,441
80,F,194,59,Active,1248,2153,2153,161,60,242
56,F,166,92,Light,1570,2159,2159,162,60,243
60,F,158,80,Light,1417,1948,1948,146,54,219
56,F,153,61,Very Active,1243,2362,2362,177,66,266
55,F,166,118,Active,1815,3131,3131,235,87,352
75,M,200,116,Sedentary,2176,2611,2611,196,73,294
59,F,196,108,Moderate,1798,2787,2787,209,77,314
28,M,186,109,Light,2282,3138,3138,235,87,353
37,M,192,77,Very Active,1831,3479,3479,261,97,391
20,M,187,73,Moderate,1850,2868,2868,215,80,323
73,F,192,97,Active,1623,2800,2800,210,78,315
23,F,200,46,Light,1393,1915,1915,144,53,215
28,M,182,76,Active,1821,3141,3141,236,87,353
27,M,177,85,Active,1923,3317,3317,249,92,373
41,M,168,83,Active,1774,3060,3060,230,85,344
71,M,198,95,Active,1908,3291,3291,247,91,370
78,F,188,74,Active,1377,2375,2375,178,66,267
60,M,166,84,Very Active,1670,3173,3173,238,88,357
46,M,171,81,Light,1733,2383,2383,179,66,268
73,F,191,88,Very Active,1537,2920,2920,219,81,328
74,F,196,82,Active,1493,2575,2575,193,72,290
23,M,191,103,Very Active,2254,4283,4283,321,119,482
54,F,186,61,Moderate,1354,2099,2099,157,58,236
74,M,166,55,Sedentary,1202,1442,1442,108,40,162
70,M,195,99,Very Active,1953,3711,3711,278,103,417
71,F,179,64,Light,1287,1770,1770,133,49,199
72,M,159,58,Active,1220,2104,2104,158,58,237
52,M,152,77,Very Active,1554,2953,2953,221,82,332
60,F,170,103,Very Active,1667,3167,3167,238,88,356
28,M,157,96,Active,1969,3397,3397,255,94,382
55,F,170,59,Moderate,1282,1987,1987,149,55,224
80,M,169,98,Active,1758,3033,3033,227,84,341
24,F,165,57,Very Active,1382,2626,2626,197,73,295
20,M,193,99,Light,2227,3062,3062,230,85,344
70,F,184,54,Active,1214,2094,2094,157,58,236
49,M,174,60,Active,1449,2500,2500,188,69,281
59,M,172,105,Light,1986,2731,2731,205,76,307
21,F,158,111,Light,1873,2575,2575,193,72,290
47,F,194,56,Sedentary,1363,1636,1636,123,45,184
74,F,198,113,Active,1785,3079,3079,231,86,346
72,F,193,65,Moderate,1335,2069,2069,155,57,233
79,F,194,93,Light,1567,2155,2155,162,60,242
34,F,167,114,Very Active,1872,3557,3557,267,99,400
18,M,162,116,Light,2318,3187,3187,239,89,359
72,M,182,57,Moderate,1317,2041,2041,153,57,230
54,M,172,103,Sedentary,1987,2384,2384,179,66,268
46,F,157,81,Sedentary,1484,1781,1781,134,49,200
23,F,161,111,Light,1873,2575,2575,193,72,290
74,M,194,118,Very Active,2180,4142,4142,311,115,466
52,M,181,82,Light,1760,2420,2420,182,67,272
72,M,165,63,Sedentary,1315,1578,1578,118,44,178
37,M,196,110,Light,2293,3153,3153,236,88,355
74,M,200,86,Active,1780,3070,3070,230,85,345
59,M,173,104,Active,1977,3410,3410,256,95,384
41,M,176,76,Sedentary,1718,2062,2062,155,57,232
56,M,165,77,Light,1594,2192,2192,164,61,247
68,M,158,88,Very Active,1640,3116,3116,234,87,351
50,F,192,47,Very Active,1261,2396,2396,180,67,270
34,M,194,66,Moderate,1711,2652,2652,199,74,298
32,F,172,114,Sedentary,1896,2275,2275,171,63,256
24,F,155,72,Moderate,1490,2310,2310,173,64,260
54,M,159,101,Active,1898,3274,3274,246,91,368
50,M,176,68,Moderate,1560,2418,2418,181,67,272
22,M,173,63,Moderate,1638,2539,2539,190,71,286
78,F,177,83,Moderate,1426,2210,2210,166,61,249
50,F,192,45,Moderate,1242,1925,1925,144,53,217
67,M,195,72,Active,1608,2774,2774,208,77,312
49,F,197,89,Very Active,1669,3171,3171,238,88,357
80,F,177,56,Active,1167,2013,2013,151,56,226
31,F,194,61,Moderate,1478,2291,2291,172,64,258
45,M,153,67,Moderate,1465,2271,2271,170,63,255
28,F,188,59,Active,1454,2508,2508,188,70,282
35,F,178,80,Moderate,1587,2460,2460,184,68,277
59,M,165,119,Sedentary,2139,2567,2567,193,71,289
28,F,166,63,Light,1423,1957,1957,147,54,220
24,F,179,90,Very Active,1730,3287,3287,247,91,370
59,M,177,98,Sedentary,1916,2299,2299,172,64,259
58,M,193,111,Moderate,2172,3367,3367,253,94,379
30,M,187,61,Active,1633,2817,2817,211,78,317
61,F,184,92,Sedentary,1604,1925,1925,144,53,217
61,F,177,101,Active,1666,2874,2874,216,80,323
48,M,155,120,Sedentary,2167,2600,2600,195,72,292
80,F,188,61,Very Active,1248,2371,2371,178,66,267
45,M,200,115,Light,2333,3208,3208,241,89,361
73,F,199,79,Very Active,1479,2810,2810,211,78,316
43,M,198,107,Light,2228,3064,3064,230,85,345
26,F,182,69,Active,1537,2651,2651,199,74,298
31,M,152,95,Active,1915,3303,3303,248,92,372
31,F,178,57,Very Active,1392,2645,2645,198,73,298
53,F,200,80,Very Active,1577,2996,2996,225,83,337
20,M,174,91,Light,2029,2790,2790,209,78,314
53,M,153,87,Very Active,1687,3205,3205,240,89,361
62,M,166,47,Light,1163,1599,1599,120,44,180
27,F,150,63,Active,1378,2377,2377,178,66,267
19,M,171,95,Active,2074,3578,3578,268,99,403
38,F,176,71,Moderate,1485,2302,2302,173,64,259
44,M,152,88,Active,1747,3014,3014,226,84,339
40,M,169,68,Very Active,1583,3008,3008,226,84,338
37,F,170,55,Active,1323,2282,2282,171,63,257
22,M,194,96,Active,2181,3762,3762,282,104,423
53,M,166,75,Very Active,1589,3019,3019,226,84,340
37,F,170,96,Active,1702,2936,2936,220,82,330
68,F,162,102,Light,1598,2197,2197,165,61,247
44,F,168,104,Light,1739,2391,2391,179,66,269
29,F,177,49,Moderate,1323,2051,2051,154,57,231
19,F,162,91,Moderate,1709,2649,2649,199,74,298
50,F,152,106,Moderate,1682,2607,2607,196,72,293
46,M,152,116,Light,2111,2903,2903,218,81,327
18,F,188,88,Light,1766,2428,2428,182,67,273
48,M,169,116,Light,2181,2999,2999,225,83,337
57,F,169,61,Light,1288,1771,1771,133,49,199
47,M,161,93,Active,1840,3174,3174,238,88,357
40,M,155,68,Active,1516,2615,2615,196,73,294
36,M,168,57,Moderate,1454,2254,2254,169,63,254
39,F,195,60,Active,1438,2481,2481,186,69,279
32,F,172,63,Moderate,1424,2207,2207,166,61,248
57,F,191,81,Sedentary,1542,1850,1850,139,51,208
63,M,156,77,Very Active,1511,2871,2871,215,80,323
19,M,160,46,Very Active,1365,2594,2594,195,72,292
44,F,200,93,Light,1737,2388,2388,179,66,269
33,M,175,69,Sedentary,1665,1998,1998,150,56,225
20,F,175,82,Light,1661,2284,2284,171,63,257
64,F,179,105,Moderate,1696,2629,2629,197,73,296
79,F,198,74,Active,1403,2420,2420,182,67,272
37,M,154,90,Light,1823,2507,2507,188,70,282
74,F,197,82,Sedentary,1496,1795,1795,135,50,202
66,M,169,110,Sedentary,1998,2398,2398,180,67,270
75,F,158,74,Moderate,1297,2010,2010,151,56,226
58,M,156,62,Very Active,1338,2542,2542,191,71,286
79,M,154,47,Active,1009,1741,1741,131,48,196
18,F,177,76,Very Active,1621,3080,3080,231,86,346
44,M,179,91,Active,1917,3307,3307,248,92,372
22,M,173,98,Very Active,2107,4003,4003,300,111,450
21,F,198,77,Light,1682,2313,2313,173,64,260
51,F,156,48,Sedentary,1154,1385,1385,104,38,156
49,F,161,106,Light,1714,2357,2357,177,65,265
18,M,195,57,Active,1686,2908,2908,218,81,327
58,F,152,45,Moderate,1083,1679,1679,126,47,189
73,F,199,94,Active,1617,2789,2789,209,77,314
21,M,166,99,Light,2092,2876,2876,216,80,324
24,M,152,93,Active,1927,3324,3324,249,92,374
27,M,151,47,Light,1289,1772,1772,133,49,199
54,M,169,46,Active,1209,2086,2086,156,58,235
22,M,183,83,Light,1954,2687,2687,202,75,302
28,F,159,101,Very Active,1753,3331,3331,250,93,375
30,F,177,99,Light,1781,2449,2449,184,68,276
33,F,171,66,Light,1445,1987,1987,149,55,224
34,F,182,98,Active,1770,3053,3053,229,85,343
47,F,175,65,Sedentary,1387,1664,1664,125,46,187
52,M,177,107,Light,2076,2854,2854,214,79,321
67,M,181,59,Sedentary,1367,1640,1640,123,46,184
50,M,172,70,Moderate,1568,2430,2430,182,68,273
72,F,162,66,Active,1248,2153,2153,161,60,242
74,M,165,45,Moderate,1063,1648,1648,124,46,185
34,M,194,53,Sedentary,1536,1843,1843,138,51,207
74,M,152,107,Sedentary,1831,2197,2197,165,61,247
35,F,168,93,Very Active,1676,3184,3184,239,88,358
56,F,153,74,Active,1363,2351,2351,176,65,264
40,F,166,94,Moderate,1658,2570,2570,193,71,289
34,M,198,67,Active,1743,3007,3007,226,84,338
66,F,176,50,Light,1169,1607,1607,121,45,181
75,M,177,58,Very Active,1289,2449,2449,184,68,276
69,F,185,102,Sedentary,1665,1998,1998,150,56,225
24,M,190,48,Light,1507,2072,2072,155,58,233
54,F,162,50,Very Active,1178,2238,2238,168,62,252
18,M,155,73,Moderate,1708,2647,2647,199,74,298
41,F,171,71,Very Active,1456,2766,2766,207,77,311
40,M,196,75,Light,1807,2485,2485,186,69,280
78,M,198,96,Sedentary,1882,2258,2258,169,63,254
44,M,190,98,Active,2063,3559,3559,267,99,400
58,M,196,67,Very Active,1597,3034,3034,228,84,341
64,F,184,72,Moderate,1406,2179,2179,163,61,245
63,F,192,72,Moderate,1435,2224,2224,167,62,250
20,F,192,61,Sedentary,1520,1824,1824,137,51,205
52,M,189,60,Active,1504,2594,2594,195,72,292
53,M,200,54,Moderate,1471,2280,2280,171,63,256
76,F,195,80,Light,1462,2010,2010,151,56,226
71,F,156,65,Active,1225,2113,2113,158,59,238
18,M,152,111,Active,2203,3800,3800,285,106,428
60,F,159,86,Light,1476,2030,2030,152,56,228
72,M,154,71,Moderate,1370,2124,2124,159,59,239
64,M,190,110,Sedentary,2111,2533,2533,190,70,285
41,M,155,76,Moderate,1618,2508,2508,188,70,282
24,F,163,110,Sedentary,1866,2239,2239,168,62,252
33,F,189,111,Sedentary,1917,2300,2300,172,64,259
55,M,192,110,Light,2171,2985,2985,224,83,336
71,F,182,87,Light,1508,2074,2074,156,58,233
62,F,175,63,Active,1304,2249,2249,169,62,253
41,M,166,106,Light,2072,2849,2849,214,79,321
34,F,178,62,Sedentary,1425,1710,1710,128,48,192
60,M,161,76,Very Active,1539,2924,2924,219,81,329
27,M,163,103,Moderate,2097,3250,3250,244,90,366
21,F,171,102,Light,1830,2516,2516,189,70,283
39,M,173,69,Sedentary,1622,1946,1946,146,54,219
51,F,167,60,Moderate,1299,2013,2013,151,56,226
48,F,178,119,Active,1892,3264,3264,245,91,367
50,M,187,73,Very Active,1680,3192,3192,239,89,359
44,F,186,63,Light,1416,1947,1947,146,54,219
79,F,151,75,Very Active,1267,2407,2407,181,67,271
18,F,183,64,Very Active,1528,2903,2903,218,81,327
80,F,171,55,Light,1140,1568,1568,118,44,176
25,M,178,78,Active,1846,3184,3184,239,88,358
69,M,151,118,Light,2002,2753,2753,206,76,310
35,M,191,68,Light,1717,2361,2361,177,66,266
66,F,190,95,Moderate,1629,2525,2525,189,70,284
50,F,153,119,Moderate,1805,2798,2798,210,78,315
27,F,189,86,Sedentary,1711,2053,2053,154,57,231
57,F,199,64,Active,1409,2431,2431,182,68,273
29,M,182,85,Very Active,1936,3678,3678,276,102,414
63,M,167,112,Active,2033,3507,3507,263,97,395
42,F,169,96,Very Active,1677,3186,3186,239,88,358
71,M,181,45,Active,1157,1996,1996,150,55,225
44,M,166,118,Sedentary,2216,2659,2659,199,74,299
69,M,181,101,Very Active,1918,3644,3644,273,101,410
62,F,160,67,Moderate,1294,2006,2006,150,56,226
63,F,178,104,Moderate,1688,2616,2616,196,73,294
75,M,153,47,Active,1026,1770,1770,133,49,199
62,M,151,51,Very Active,1144,2174,2174,163,60,245
45,M,155,87,Light,1742,2395,2395,180,67,269
46,F,157,103,Sedentary,1687,2024,2024,152,56,228
37,M,159,63,Active,1485,2562,2562,192,71,288
37,F,159,85,Active,1566,2701,2701,203,75,304
55,F,187,117,Very Active,1871,3555,3555,267,99,400
30,M,191,60,Sedentary,1638,1966,1966,147,55,221
75,F,150,66,Active,1198,2067,2067,155,57,233
49,F,176,74,Light,1465,2014,2014,151,56,227
46,M,168,89,Sedentary,1826,2191,2191,164,61,246
47,F,165,63,Light,1338,1840,1840,138,51,207
51,M,171,49,Active,1276,2201,2201,165,61,248
44,M,192,115,Very Active,2301,4372,4372,328,121,492
44,M,162,87,Very Active,1782,3386,3386,254,94,381
22,M,157,112,Very Active,2217,4212,4212,316,117,474
67,M,192,72,Very Active,1594,3029,3029,227,84,341
69,M,165,93,Active,1734,2991,2991,224,83,336
57,M,158,100,Active,1863,3214,3214,241,89,362
78,M,170,52,Light,1158,1592,1592,119,44,179
42,M,178,73,Active,1682,2901,2901,218,81,326
68,F,174,52,Active,1173,2023,2023,152,56,228
45,M,166,65,Sedentary,1500,1800,1800,135,50,202
23,M,169,120,Active,2376,4099,4099,307,114,461
22,F,170,88,Very Active,1693,3217,3217,241,89,362
38,F,198,92,Active,1747,3014,3014,226,84,339
71,M,157,120,Light,2046,2813,2813,211,78,316
45,F,186,82,Light,1587,2182,2182,164,61,245
60,F,181,87,Very Active,1553,2951,2951,221,82,332
31,M,157,85,Very Active,1805,3430,3430,257,95,386
65,F,168,102,Light,1630,2241,2241,168,62,252
19,F,199,46,Very Active,1407,2673,2673,200,74,301
54,F,176,118,Active,1850,3191,3191,239,89,359
70,F,158,61,Light,1198,1647,1647,124,46,185
60,F,159,82,Very Active,1439,2734,2734,205,76,308
52,F,174,72,Very Active,1427,2711,2711,203,75,305
70,F,199,119,Moderate,1861,2885,2885,216,80,325
77,M,178,107,Active,1939,3345,3345,251,93,376
33,M,163,89,Light,1876,2580,2580,194,72,290
73,M,198,95,Sedentary,1897,2276,2276,171,63,256
